common_name,scientific_name,care_level,description,image_url,indoor_suitable
Climbing Maidenhair Fern,Adiantum hispidulum,Easy,"Hardy Australian native fern, easier than traditional maidenhair. Perfect for hanging baskets.",https://images.unsplash.com/photo-1509423350716-97f9360b4e09?w=800,true
Coastal Rosemary,Westringia fruticosa,Easy,Grey-green leaves with delicate white or pale-lavender flowers.,https://images.unsplash.com/photo-1595452767488-ffc600bef5cc?w=800,true
Gum Vine,Aphanopetalum resinosum,Easy,Rainforest vine with waxy leaves on long meandering stems.,https://images.unsplash.com/photo-1556750865-76c1f36e3b92?w=800,true
Hare's Foot Fern,Davallia solida,Easy,"Features above-ground stems with soft, furry covering. Delightful appearance.",https://images.unsplash.com/photo-1508656388783-bcb696550ef6?w=800,true
Jungle Brake Fern,Pteris umbrosa,Easy,Vibrant star-shaped fronds. Likes a little more light than most ferns.,https://images.unsplash.com/photo-1505159940484-eb2b9f2588e2?w=800,true
Kangaroo Fern,Microsorum diversifolium,Easy,Glossy bright green leaves shaped like kangaroo paws. Great for beginners.,https://images.unsplash.com/photo-1545241047-6083a3684587?w=800,true
Kangaroo Vine,Cissus antartica,Easy,Large deep green leaves with serrated edges. Great in pots and hanging baskets.,https://images.unsplash.com/photo-1597868165956-03a6827955b1?w=800,true
Karkalla,Carpobrotus glaucescens,Easy,Coastal succulent with edible leaves that have a mildly salty taste.,https://images.unsplash.com/photo-1459156212016-c812468e2115?w=800,true
Kentia Palm,Howea forsteriana,Easy,Elegant palm that thrives in low light conditions. Perfect for indoor spaces.,https://images.unsplash.com/photo-1614594975525-e45190c55d0b?w=800,true
Mat Rush,Lomandra longiflora,Easy,Striking grass-like plant with long history of Aboriginal use. Very drought tolerant.,https://images.unsplash.com/photo-1616694547003-65a0c1527333?w=800,true
Native Flax,Dianella australiana,Easy,Similar to spider plant with strappy green leaves. Tough and drought-tolerant.,https://images.unsplash.com/photo-1463936575829-25148e1db1b8?w=800,true
Native Ginger,Alpinia caerulea,Easy,Perfect for kitchen window. Leaves can be harvested for cooking.,https://images.unsplash.com/photo-1598210186852-4aea4bf56416?w=800,true
Native Mint,Mentha australis,Easy,Perfect for sunny kitchen windowsill. Leaves can be picked for meals.,https://images.unsplash.com/photo-1628556270448-4d4e4148e1b1?w=800,true
Native Orchid,Dendrobium kingianum,Moderate,Beautiful Australian orchid with delicate flowers. Requires regular misting.,https://images.unsplash.com/photo-1551732998-9d3d7c28a69b?w=800,true
Native Violet,Viola hederacea,Easy,Beautiful purple and white flowers. Can be used as ground cover or houseplant.,https://images.unsplash.com/photo-1490750967868-88aa4486c946?w=800,true
Necklace Fern,Asplenium flabellifolium,Easy,Sweet little fern that prefers hanging or trailing position. Very easy to care for.,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?w=800,true
Palm Lily,Cordyline australis,Easy,Known for purple flowers and deep glossy green leaves. Drought-tolerant.,https://images.unsplash.com/photo-1598210186215-c8c5eec2a57f?w=800,true
Tassel Cord Rush,Baloskion tetraphyllum,Easy,Stunning plume-like green foliage with feathered tips. Low-maintenance.,https://images.unsplash.com/photo-1520412099551-62b6bafeb5bb?w=800,true
Walking Stick Palm,Linospadix monostachya,Moderate,Provides height and elegance in a room. Prefers shaded positions.,https://images.unsplash.com/photo-1509937528035-ad76254b0356?w=800,true
Wombat Berry,Eustrephus latifolius,Easy,"Delicate dark green leaves, will scramble over nearby objects.",https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800,true